Datetime,Open,High,Low,Close,Volume
2024-05-31 10:42:00-04:00,520.75,520.75,520.36,520.54,101042.0
2024-05-31 10:42:00-04:00,520.75,520.75,520.36,520.54,101042.0
2024-05-31 10:43:00-04:00,520.52,520.61,520.34,520.43,72683.0
2024-05-31 10:43:00-04:00,520.52,520.61,520.34,520.43,72683.0
2024-05-31 10:44:00-04:00,520.45,520.51,520.39,520.47,46902.0
2024-05-31 10:44:00-04:00,520.45,520.51,520.39,520.47,46902.0
2024-05-31 10:45:00-04:00,520.45,520.75,520.45,520.58,97730.0
2024-05-31 10:45:00-04:00,520.45,520.75,520.45,520.58,97730.0
2024-05-31 10:46:00-04:00,520.58,520.62,520.33,520.37,79949.0
2024-05-31 10:46:00-04:00,520.58,520.62,520.33,520.37,79949.0
2024-05-31 10:47:00-04:00,520.37,520.54,520.27,520.46,108364.0
2024-05-31 10:47:00-04:00,520.37,520.54,520.27,520.46,108364.0
2024-05-31 10:48:00-04:00,520.46,520.6,520.45,520.6,78127.0
2024-05-31 10:48:00-04:00,520.46,520.6,520.45,520.6,78127.0
2024-05-31 10:49:00-04:00,520.61,520.71,520.36,520.38,132364.0
2024-05-31 10:49:00-04:00,520.61,520.71,520.36,520.38,132364.0
2024-05-31 10:50:00-04:00,520.38,520.53,520.36,520.39,70183.0
2024-05-31 10:50:00-04:00,520.38,520.53,520.36,520.39,70183.0
2024-05-31 10:51:00-04:00,520.39,520.4,520.23,520.35,67374.0
2024-05-31 10:51:00-04:00,520.39,520.4,520.23,520.35,67374.0
2024-05-31 10:52:00-04:00,520.35,520.53,520.31,520.47,107584.0
2024-05-31 10:52:00-04:00,520.35,520.53,520.31,520.47,107584.0
2024-05-31 10:53:00-04:00,520.45,520.46,520.31,520.37,44515.0
2024-05-31 10:53:00-04:00,520.45,520.46,520.31,520.37,44515.0
2024-05-31 10:54:00-04:00,520.37,520.47,520.37,520.41,36253.0
2024-05-31 10:54:00-04:00,520.37,520.47,520.37,520.41,36253.0
2024-05-31 10:55:00-04:00,520.41,520.84,520.35,520.81,113718.0
2024-05-31 10:55:00-04:00,520.41,520.84,520.35,520.81,113718.0
2024-05-31 10:56:00-04:00,520.82,521.05,520.81,521.01,105884.0
2024-05-31 10:56:00-04:00,520.82,521.05,520.81,521.01,105884.0
2024-05-31 10:57:00-04:00,521.01,521.15,520.97,520.99,101941.0
2024-05-31 10:57:00-04:00,521.01,521.15,520.97,520.99,101941.0
2024-05-31 10:58:00-04:00,520.99,521.11,520.98,521.03,117304.0
2024-05-31 10:58:00-04:00,520.99,521.11,520.98,521.03,117304.0
2024-05-31 10:59:00-04:00,521.01,521.05,520.77,520.87,66909.0
2024-05-31 10:59:00-04:00,521.01,521.05,520.77,520.87,66909.0
2024-05-31 11:00:00-04:00,520.88,520.91,520.68,520.78,53186.0
2024-05-31 11:00:00-04:00,520.88,520.91,520.68,520.78,53186.0
2024-05-31 11:01:00-04:00,520.78,520.94,520.65,520.66,58080.0
2024-05-31 11:01:00-04:00,520.78,520.94,520.65,520.66,58080.0
2024-05-31 11:02:00-04:00,520.66,520.75,520.24,520.31,108759.0
2024-05-31 11:02:00-04:00,520.66,520.75,520.24,520.31,108759.0
2024-05-31 11:03:00-04:00,520.3,520.48,520.18,520.43,81203.0
2024-05-31 11:03:00-04:00,520.3,520.48,520.18,520.43,81203.0
2024-05-31 11:04:00-04:00,520.44,520.47,520.19,520.35,51399.0
2024-05-31 11:04:00-04:00,520.44,520.47,520.19,520.35,51399.0
2024-05-31 11:05:00-04:00,520.36,520.58,520.34,520.58,72486.0
2024-05-31 11:05:00-04:00,520.36,520.58,520.34,520.58,72486.0
2024-05-31 11:06:00-04:00,520.57,520.57,520.16,520.2,78081.0
2024-05-31 11:06:00-04:00,520.57,520.57,520.16,520.2,78081.0
2024-05-31 11:07:00-04:00,520.2,520.36,520.16,520.18,44259.0
2024-05-31 11:07:00-04:00,520.2,520.36,520.16,520.18,44259.0
2024-05-31 11:08:00-04:00,520.17,520.37,520.13,520.28,46497.0
2024-05-31 11:08:00-04:00,520.17,520.37,520.13,520.28,46497.0
2024-05-31 11:09:00-04:00,520.28,520.53,520.23,520.5,91758.0
2024-05-31 11:09:00-04:00,520.28,520.53,520.23,520.5,91758.0
2024-05-31 11:10:00-04:00,520.5,520.69,520.45,520.48,140683.0
2024-05-31 11:10:00-04:00,520.5,520.69,520.45,520.48,140683.0
2024-05-31 11:11:00-04:00,520.47,520.51,520.31,520.35,82129.0
2024-05-31 11:11:00-04:00,520.47,520.51,520.31,520.35,82129.0
2024-05-31 11:12:00-04:00,520.36,520.41,520.31,520.4,43859.0
2024-05-31 11:12:00-04:00,520.36,520.41,520.31,520.4,43859.0
2024-05-31 11:13:00-04:00,520.39,520.4,520.29,520.38,55041.0
2024-05-31 11:13:00-04:00,520.39,520.4,520.29,520.38,55041.0
2024-05-31 11:14:00-04:00,520.37,520.55,520.36,520.54,56498.0
2024-05-31 11:14:00-04:00,520.37,520.55,520.36,520.54,56498.0
2024-05-31 11:15:00-04:00,520.53,520.67,520.34,520.35,87907.0
2024-05-31 11:15:00-04:00,520.53,520.67,520.34,520.35,87907.0
2024-05-31 11:16:00-04:00,520.35,520.4,520.12,520.22,149335.0
2024-05-31 11:16:00-04:00,520.35,520.4,520.12,520.22,149335.0
2024-05-31 11:17:00-04:00,520.22,520.32,520.16,520.26,61366.0
2024-05-31 11:17:00-04:00,520.22,520.32,520.16,520.26,61366.0
2024-05-31 11:18:00-04:00,520.27,520.32,520.17,520.18,73897.0
2024-05-31 11:18:00-04:00,520.27,520.32,520.17,520.18,73897.0
2024-05-31 11:19:00-04:00,520.19,520.2,520.1,520.14,78290.0
2024-05-31 11:19:00-04:00,520.19,520.2,520.1,520.14,78290.0
2024-05-31 11:20:00-04:00,520.13,520.22,520.05,520.07,92405.0
2024-05-31 11:20:00-04:00,520.13,520.22,520.05,520.07,92405.0
2024-05-31 11:21:00-04:00,520.08,520.22,520.07,520.1,75271.0
2024-05-31 11:21:00-04:00,520.08,520.22,520.07,520.1,75271.0
2024-05-31 11:22:00-04:00,520.09,520.14,520.03,520.06,76337.0
2024-05-31 11:22:00-04:00,520.09,520.14,520.03,520.06,76337.0
2024-05-31 11:23:00-04:00,520.05,520.15,520.04,520.14,37841.0
2024-05-31 11:23:00-04:00,520.05,520.15,520.04,520.14,37841.0
2024-05-31 11:24:00-04:00,520.14,520.41,520.13,520.3,94600.0
2024-05-31 11:24:00-04:00,520.14,520.41,520.13,520.3,94600.0
2024-05-31 11:25:00-04:00,520.3,520.3,520.05,520.11,69055.0
2024-05-31 11:25:00-04:00,520.3,520.3,520.05,520.11,69055.0
2024-05-31 11:26:00-04:00,520.1,520.15,520.06,520.08,32825.0
2024-05-31 11:26:00-04:00,520.1,520.15,520.06,520.08,32825.0
2024-05-31 11:27:00-04:00,520.08,520.19,520.03,520.11,43240.0
2024-05-31 11:27:00-04:00,520.08,520.19,520.03,520.11,43240.0
2024-05-31 11:28:00-04:00,520.11,520.22,520.07,520.11,36533.0
2024-05-31 11:28:00-04:00,520.11,520.22,520.07,520.11,36533.0
2024-05-31 11:29:00-04:00,520.12,520.15,520.07,520.15,31721.0
2024-05-31 11:29:00-04:00,520.12,520.15,520.07,520.15,31721.0
2024-05-31 11:30:00-04:00,520.12,520.12,519.81,519.86,247581.0
2024-05-31 11:30:00-04:00,520.12,520.12,519.81,519.86,247581.0
2024-05-31 11:31:00-04:00,519.86,519.87,519.73,519.87,125398.0
2024-05-31 11:31:00-04:00,519.86,519.87,519.73,519.87,125398.0
2024-05-31 11:32:00-04:00,519.84,519.96,519.79,519.96,64047.0
2024-05-31 11:32:00-04:00,519.84,519.96,519.79,519.96,64047.0
2024-05-31 11:33:00-04:00,519.95,519.95,519.63,519.69,103342.0
2024-05-31 11:33:00-04:00,519.95,519.95,519.63,519.69,103342.0
2024-05-31 11:34:00-04:00,519.69,519.97,519.62,519.96,111970.0
2024-05-31 11:34:00-04:00,519.69,519.97,519.62,519.96,111970.0
2024-05-31 11:35:00-04:00,519.94,520.24,519.94,520.16,100389.0
2024-05-31 11:35:00-04:00,519.94,520.24,519.94,520.16,100389.0
2024-05-31 11:36:00-04:00,520.17,520.2,519.94,519.94,43342.0
2024-05-31 11:36:00-04:00,520.17,520.2,519.94,519.94,43342.0
2024-05-31 11:37:00-04:00,519.95,520.23,519.95,520.09,69442.0
2024-05-31 11:37:00-04:00,519.95,520.23,519.95,520.09,69442.0
2024-05-31 11:38:00-04:00,520.08,520.08,519.93,519.95,45687.0
2024-05-31 11:38:00-04:00,520.08,520.08,519.93,519.95,45687.0
2024-05-31 11:39:00-04:00,519.96,519.98,519.81,519.83,32079.0
2024-05-31 11:39:00-04:00,519.96,519.98,519.81,519.83,32079.0
2024-05-31 11:40:00-04:00,519.82,520.0,519.82,519.97,47566.0
2024-05-31 11:40:00-04:00,519.82,520.0,519.82,519.97,47566.0
2024-05-31 11:41:00-04:00,519.97,520.12,519.9,520.06,72864.0
2024-05-31 11:41:00-04:00,519.97,520.12,519.9,520.06,72864.0
2024-05-31 11:42:00-04:00,520.05,520.15,520.01,520.02,51271.0
2024-05-31 11:42:00-04:00,520.05,520.15,520.01,520.02,51271.0
2024-05-31 11:43:00-04:00,520.03,520.06,519.95,519.98,32894.0
2024-05-31 11:43:00-04:00,520.03,520.06,519.95,519.98,32894.0
2024-05-31 11:44:00-04:00,519.99,520.07,519.92,519.92,41523.0
2024-05-31 11:44:00-04:00,519.99,520.07,519.92,519.92,41523.0
