,Open,High,Low,Close,Volume
2024-06-21 15:20:00,544.59,544.62,544.435,544.52,89750.0
2024-06-21 15:19:00,544.59,544.66,544.59,544.6,58453.0
2024-06-21 15:18:00,544.685,544.685,544.56,544.59,46051.0
2024-06-21 15:17:00,544.735,544.76,544.555,544.685,116499.0
2024-06-21 15:16:00,544.66,544.74,544.655,544.74,158598.0
2024-06-21 15:15:00,544.49,544.685,544.44,544.64,58132.0
2024-06-21 15:14:00,544.53,544.56,544.48,544.5,66728.0
2024-06-21 15:13:00,544.73,544.74,544.47,544.525,50194.0
2024-06-21 15:12:00,544.65,544.745,544.583,544.725,41867.0
2024-06-21 15:11:00,544.5,544.665,544.5,544.66,38318.0
2024-06-21 15:10:00,544.437,544.57,544.42,544.505,53812.0
2024-06-21 15:09:00,544.465,544.52,544.42,544.44,36453.0
2024-06-21 15:08:00,544.515,544.56,544.43,544.46,37641.0
2024-06-21 15:07:00,544.642,544.685,544.48,544.519,48880.0
2024-06-21 15:06:00,544.745,544.75,544.62,544.64,296936.0
2024-06-21 15:05:00,544.555,544.845,544.55,544.73,94011.0
2024-06-21 15:04:00,544.601,544.64,544.54,544.56,538496.0
2024-06-21 15:03:00,544.461,544.61,544.45,544.61,73313.0
2024-06-21 15:02:00,544.35,544.48,544.29,544.47,24272.0
2024-06-21 15:01:00,544.36,544.46,544.33,544.33,43760.0
2024-06-21 15:00:00,544.3,544.39,544.25,544.39,37100.0
2024-06-21 14:59:00,544.29,544.31,544.22,544.29,28198.0
2024-06-21 14:58:00,544.195,544.39,544.185,544.3,332066.0
2024-06-21 14:57:00,544.08,544.22,544.07,544.2,54422.0
2024-06-21 14:56:00,544.17,544.21,544.08,544.08,50594.0
2024-06-21 14:55:00,544.15,544.215,544.1,544.16,30003.0
2024-06-21 14:54:00,544.13,544.206,544.13,544.16,26534.0
2024-06-21 14:53:00,544.22,544.235,544.1,544.125,34992.0
2024-06-21 14:52:00,544.09,544.245,544.09,544.23,63377.0
2024-06-21 14:51:00,544.1,544.143,544.05,544.1,31740.0
2024-06-21 14:50:00,544.13,544.17,543.95,544.1,53430.0
2024-06-21 14:49:00,544.28,544.33,544.13,544.145,211438.0
2024-06-21 14:48:00,544.3,544.32,544.24,544.27,24845.0
2024-06-21 14:47:00,544.26,544.34,544.245,544.29,45959.0
2024-06-21 14:46:00,544.451,544.451,544.26,544.26,53248.0
2024-06-21 14:45:00,544.29,544.455,544.28,544.455,48414.0
2024-06-21 14:44:00,544.16,544.315,544.12,544.29,62510.0
2024-06-21 14:43:00,544.19,544.255,544.07,544.165,25705.0
2024-06-21 14:42:00,544.31,544.42,544.17,544.17,45721.0
2024-06-21 14:41:00,544.25,544.34,544.14,544.32,27486.0
2024-06-21 14:40:00,544.27,544.33,544.22,544.26,35391.0
2024-06-21 14:39:00,544.4,544.42,544.22,544.252,35350.0
2024-06-21 14:38:00,544.235,544.4,544.09,544.4,55092.0
2024-06-21 14:37:00,544.43,544.46,544.191,544.24,60972.0
2024-06-21 14:36:00,544.43,544.535,544.39,544.438,31172.0
2024-06-21 14:35:00,544.45,544.519,544.41,544.43,47317.0
2024-06-21 14:34:00,544.48,544.5,544.39,544.44,49159.0
2024-06-21 14:33:00,544.52,544.535,544.4,544.48,46397.0
2024-06-21 14:32:00,544.61,544.645,544.525,544.53,58671.0
2024-06-21 14:31:00,544.55,544.63,544.55,544.61,37013.0
2024-06-21 14:30:00,544.69,544.7,544.52,544.545,109839.0
2024-06-21 14:29:00,544.69,544.755,544.68,544.695,61445.0
2024-06-21 14:28:00,544.62,544.72,544.61,544.69,502486.0
2024-06-21 14:27:00,544.54,544.615,544.45,544.61,39658.0
2024-06-21 14:26:00,544.58,544.71,544.499,544.51,62630.0
2024-06-21 14:25:00,544.46,544.59,544.46,544.57,104454.0
2024-06-21 14:24:00,544.328,544.49,544.27,544.46,61523.0
2024-06-21 14:23:00,544.52,544.52,544.27,544.325,60844.0
2024-06-21 14:22:00,544.54,544.64,544.51,544.53,49803.0
2024-06-21 14:21:00,544.595,544.67,544.53,544.535,48408.0
2024-06-21 14:20:00,544.47,544.63,544.47,544.59,54766.0
2024-06-21 14:19:00,544.54,544.63,544.46,544.48,35886.0
2024-06-21 14:18:00,544.54,544.54,544.45,544.54,33382.0
2024-06-21 14:17:00,544.583,544.64,544.51,544.55,50727.0
2024-06-21 14:16:00,544.44,544.6,544.44,544.59,76256.0
2024-06-21 14:15:00,544.225,544.45,544.225,544.44,75555.0
2024-06-21 14:14:00,544.319,544.32,544.18,544.22,40544.0
2024-06-21 14:13:00,544.339,544.35,544.25,544.32,28753.0
2024-06-21 14:12:00,544.245,544.37,544.245,544.336,41359.0
2024-06-21 14:11:00,544.159,544.24,544.05,544.24,47995.0
2024-06-21 14:10:00,544.12,544.18,544.055,544.15,61852.0
2024-06-21 14:09:00,544.049,544.19,543.98,544.12,92509.0
2024-06-21 14:08:00,544.0,544.05,543.82,544.05,48037.0
2024-06-21 14:07:00,544.065,544.155,544.0,544.035,49228.0
2024-06-21 14:06:00,543.975,544.07,543.89,544.069,182987.0
2024-06-21 14:05:00,543.86,543.98,543.77,543.975,376498.0
2024-06-21 14:04:00,543.86,543.9,543.805,543.855,197125.0
2024-06-21 14:03:00,543.98,544.01,543.86,543.86,37100.0
2024-06-21 14:02:00,543.94,544.0,543.89,544.0,31462.0
2024-06-21 14:01:00,544.02,544.045,543.93,543.97,27138.0
2024-06-21 14:00:00,543.95,544.06,543.92,544.02,51953.0
2024-06-21 13:59:00,544.079,544.09,543.95,543.96,41860.0
2024-06-21 13:58:00,544.15,544.151,544.025,544.08,36001.0
2024-06-21 13:57:00,544.16,544.17,544.08,544.16,38370.0
2024-06-21 13:56:00,544.27,544.31,544.08,544.14,84780.0
2024-06-21 13:55:00,544.47,544.48,544.235,544.27,70613.0
2024-06-21 13:54:00,544.48,544.5,544.4,544.465,41346.0
2024-06-21 13:53:00,544.315,544.48,544.275,544.48,45098.0
2024-06-21 13:52:00,544.24,544.45,544.21,544.32,65140.0
2024-06-21 13:51:00,544.04,544.24,544.04,544.21,58021.0
2024-06-21 13:50:00,544.01,544.08,543.98,544.04,23580.0
2024-06-21 13:49:00,544.05,544.08,543.93,544.01,51368.0
2024-06-21 13:48:00,543.94,544.05,543.935,544.05,30053.0
2024-06-21 13:47:00,543.995,544.01,543.885,543.92,42715.0
2024-06-21 13:46:00,543.98,544.085,543.95,543.99,86709.0
2024-06-21 13:45:00,543.85,543.99,543.81,543.98,32236.0
2024-06-21 13:44:00,543.77,543.88,543.743,543.85,137727.0
2024-06-21 13:43:00,543.89,543.89,543.755,543.77,107603.0
2024-06-21 13:42:00,543.96,543.96,543.77,543.89,34436.0
2024-06-21 13:41:00,543.88,544.055,543.85,543.96,51852.0
2024-06-21 13:40:00,544.02,544.07,543.88,543.885,72968.0
2024-06-21 13:39:00,543.87,544.04,543.865,544.03,362611.0
2024-06-21 13:38:00,543.92,543.95,543.82,543.87,127448.0
2024-06-21 13:37:00,543.71,543.92,543.69,543.91,74509.0
2024-06-21 13:36:00,543.608,543.74,543.59,543.69,54892.0
2024-06-21 13:35:00,543.89,543.94,543.559,543.613,82876.0
2024-06-21 13:34:00,543.925,543.925,543.75,543.88,87836.0
2024-06-21 13:33:00,544.05,544.05,543.89,543.925,76727.0
2024-06-21 13:32:00,544.03,544.09,544.02,544.05,34212.0
2024-06-21 13:31:00,544.12,544.18,544.012,544.02,35226.0
2024-06-21 13:30:00,544.07,544.14,543.96,544.115,62160.0
2024-06-21 13:29:00,544.2,544.249,544.08,544.09,238063.0
2024-06-21 13:28:00,544.15,544.28,544.15,544.195,50687.0
2024-06-21 13:27:00,544.09,544.16,544.02,544.14,46151.0
2024-06-21 13:26:00,544.0,544.14,543.99,544.1,97241.0
2024-06-21 13:25:00,543.93,544.065,543.88,544.01,36557.0
2024-06-21 13:24:00,543.987,544.09,543.92,543.94,107383.0
2024-06-21 13:23:00,544.11,544.11,543.9,543.96,49905.0
2024-06-21 13:22:00,544.28,544.28,544.09,544.11,27116.0
2024-06-21 13:21:00,544.044,544.283,544.01,544.25,32855.0
2024-06-21 13:20:00,544.1,544.25,544.02,544.04,67248.0
2024-06-21 13:19:00,544.447,544.514,544.12,544.125,71641.0
2024-06-21 13:18:00,544.54,544.62,544.429,544.429,66219.0
2024-06-21 13:17:00,544.72,544.73,544.555,544.558,27678.0
2024-06-21 13:16:00,544.7,544.716,544.59,544.71,23445.0
2024-06-21 13:15:00,544.615,544.77,544.59,544.69,55327.0
2024-06-21 13:14:00,544.75,544.75,544.618,544.62,18244.0
2024-06-21 13:13:00,544.735,544.84,544.68,544.73,25059.0
2024-06-21 13:12:00,544.72,544.76,544.65,544.741,21048.0
2024-06-21 13:11:00,544.81,544.825,544.675,544.71,34834.0
2024-06-21 13:10:00,544.6,544.8,544.6,544.8,25282.0
2024-06-21 13:09:00,544.54,544.72,544.51,544.6,17724.0
2024-06-21 13:08:00,544.62,544.67,544.53,544.55,30845.0
2024-06-21 13:07:00,544.78,544.79,544.59,544.613,34833.0
2024-06-21 13:06:00,544.77,544.79,544.7,544.79,18005.0
2024-06-21 13:05:00,544.71,544.82,544.68,544.77,50420.0
2024-06-21 13:04:00,544.61,544.72,544.55,544.715,23685.0
2024-06-21 13:03:00,544.635,544.64,544.51,544.61,20457.0
2024-06-21 13:02:00,544.42,544.65,544.42,544.62,44940.0
2024-06-21 13:01:00,544.63,544.63,544.35,544.42,38149.0
2024-06-21 13:00:00,544.54,544.69,544.5,544.65,26244.0
2024-06-21 12:59:00,544.72,544.77,544.55,544.551,23269.0
2024-06-21 12:58:00,544.76,544.82,544.71,544.72,23803.0
2024-06-21 12:57:00,544.62,544.76,544.57,544.755,44295.0
2024-06-21 12:56:00,544.63,544.716,544.57,544.65,41751.0
2024-06-21 12:55:00,544.86,544.86,544.63,544.63,45722.0
2024-06-21 12:54:00,545.0,545.005,544.78,544.87,39844.0
2024-06-21 12:53:00,544.7,545.01,544.7,545.01,45508.0
2024-06-21 12:52:00,544.5,544.79,544.48,544.71,50283.0
2024-06-21 12:51:00,544.61,544.61,544.455,544.51,48797.0
2024-06-21 12:50:00,544.72,544.78,544.486,544.61,43426.0
2024-06-21 12:49:00,544.91,544.91,544.7,544.72,44304.0
2024-06-21 12:48:00,545.01,545.05,544.88,544.91,32905.0
2024-06-21 12:47:00,544.91,545.0,544.86,544.98,33177.0
2024-06-21 12:46:00,544.858,544.93,544.83,544.91,33394.0
2024-06-21 12:45:00,545.05,545.14,544.79,544.86,79151.0
2024-06-21 12:44:00,545.21,545.225,545.01,545.03,61254.0
2024-06-21 12:43:00,545.25,545.257,545.2,545.21,60310.0
2024-06-21 12:42:00,545.25,545.3,545.19,545.24,48115.0
2024-06-21 12:41:00,545.21,545.27,545.11,545.25,47204.0
2024-06-21 12:40:00,545.12,545.25,545.12,545.2,48157.0
2024-06-21 12:39:00,545.14,545.15,545.02,545.115,23152.0
2024-06-21 12:38:00,545.167,545.185,545.11,545.134,18033.0
2024-06-21 12:37:00,545.171,545.21,545.11,545.17,19334.0
2024-06-21 12:36:00,545.27,545.285,545.16,545.182,34407.0
2024-06-21 12:35:00,545.29,545.29,545.12,545.245,21331.0
2024-06-21 12:34:00,545.27,545.33,545.22,545.29,40675.0
2024-06-21 12:33:00,545.29,545.33,545.23,545.26,25037.0
2024-06-21 12:32:00,545.06,545.295,545.04,545.295,31179.0
2024-06-21 12:31:00,545.165,545.215,545.04,545.06,90848.0
2024-06-21 12:30:00,545.26,545.3,545.08,545.16,84028.0
2024-06-21 12:29:00,545.215,545.306,545.215,545.25,23240.0
2024-06-21 12:28:00,545.07,545.23,545.03,545.215,46639.0
2024-06-21 12:27:00,545.07,545.072,545.0,545.072,59494.0
2024-06-21 12:26:00,545.15,545.18,545.07,545.08,36423.0
2024-06-21 12:25:00,545.16,545.22,545.1,545.16,45110.0
2024-06-21 12:24:00,545.25,545.26,545.16,545.16,27423.0
2024-06-21 12:23:00,545.38,545.38,545.23,545.26,39802.0
2024-06-21 12:22:00,545.45,545.475,545.37,545.395,24271.0
